city,file,node_id,street,walk,side,seq,cardinal,usable,exclude_reason,osm_name,typology,face_id,vertical_greenery_median_round,vertical_greenery_median,vertical_hardscape_median_round,vertical_hardscape_median,green_eye_level_median_round,green_eye_level_median,sky_openness_median_round,sky_openness_median,walkable_ground_median_round,walkable_ground_median,green_softening_median_round,green_softening_median,signage_detail_median_round,signage_detail_median,facade_variation_median_round,facade_variation_median,ground_floor_activity_median_round,ground_floor_activity_median,resting_affordance_median_round,resting_affordance_median,arc_vegetation,arc_sky,arc_building,H_m,W_facade,HW_facade,HW_effective,HW_source,node_GVI,node_VEI,node_SVF_band,vertical_greenery_argmax,vertical_hardscape_argmax,green_eye_level_argmax,sky_openness_argmax,walkable_ground_argmax,green_softening_argmax,signage_detail_argmax,facade_variation_argmax,ground_floor_activity_argmax,resting_affordance_argmax,vertical_greenery_p1,vertical_greenery_p2,vertical_greenery_p3,vertical_greenery_p4,vertical_greenery_p5,vertical_greenery_p6,vertical_greenery_p7,vertical_hardscape_p1,vertical_hardscape_p2,vertical_hardscape_p3,vertical_hardscape_p4,vertical_hardscape_p5,vertical_hardscape_p6,vertical_hardscape_p7,green_eye_level_p1,green_eye_level_p2,green_eye_level_p3,green_eye_level_p4,green_eye_level_p5,green_eye_level_p6,green_eye_level_p7,sky_openness_p1,sky_openness_p2,sky_openness_p3,sky_openness_p4,sky_openness_p5,sky_openness_p6,sky_openness_p7,walkable_ground_p1,walkable_ground_p2,walkable_ground_p3,walkable_ground_p4,walkable_ground_p5,walkable_ground_p6,walkable_ground_p7,green_softening_p1,green_softening_p2,green_softening_p3,green_softening_p4,green_softening_p5,green_softening_p6,green_softening_p7,signage_detail_p1,signage_detail_p2,signage_detail_p3,signage_detail_p4,signage_detail_p5,signage_detail_p6,signage_detail_p7,facade_variation_p1,facade_variation_p2,facade_variation_p3,facade_variation_p4,facade_variation_p5,facade_variation_p6,facade_variation_p7,ground_floor_activity_p1,ground_floor_activity_p2,ground_floor_activity_p3,ground_floor_activity_p4,ground_floor_activity_p5,ground_floor_activity_p6,ground_floor_activity_p7,resting_affordance_p1,resting_affordance_p2,resting_affordance_p3,resting_affordance_p4,resting_affordance_p5,resting_affordance_p6,resting_affordance_p7,indoor,sky_share,road_share,ceiling_share
City of London,abchurch_lane/north_to_south/006_n00003_S_L.jpg,n00003,abchurch_lane,north_to_south,L,6,S,True,,abchurch_lane,,,1,1.0264935613257336,6,5.827632079057393,1,1.1745642701525054,2,1.9700278810408922,5,4.644392209536602,1,1.0584043985637344,3,3.1293986636971045,3,3.451084215834594,4,4.0535298681148175,1,1.139286174462054,,,,,,,,,,,,1,6,1,2,6,1,3,2,6,1,0.9474,0.0252,0.0105,0.0023,0.0039,0.0034,0.0072,0.0297,0.0262,0.0712,0.0628,0.1508,0.5262,0.1331,0.7344,0.1857,0.0323,0.0092,0.0092,0.0119,0.0173,0.2958,0.4304,0.1397,0.066,0.04,0.0243,0.0037,0.1912,0.116,0.1314,0.0797,0.1489,0.2167,0.116,0.8912,0.057,0.0163,0.0047,0.0068,0.0077,0.0163,0.1543,0.1981,0.2245,0.1543,0.1201,0.1361,0.0127,0.0937,0.1983,0.1983,0.1363,0.1983,0.1363,0.039,0.0886,0.1289,0.1875,0.1289,0.146,0.2728,0.0474,0.7761,0.1528,0.0386,0.0086,0.0086,0.0076,0.0076,False,0.112763,0.10469,0.0
City of London,abchurch_lane/north_to_south/006_n00003_S_R.jpg,n00003,abchurch_lane,north_to_south,R,6,S,True,,abchurch_lane,,,1,1.0155911202891068,5,5.294803548795945,1,1.2656663038407712,1,1.4496094494189369,6,5.860109852385857,1,1.1262600806451613,5,4.891162968630452,5,4.8848278793030175,3,3.4570524412296564,1,1.3435530574007837,,,,,,,,,,,,1,5,1,1,6,1,6,5,3,1,0.9685,0.0157,0.0058,0.0015,0.0021,0.0015,0.0051,0.0056,0.0153,0.0686,0.0997,0.3945,0.2711,0.1451,0.6431,0.2366,0.0466,0.0151,0.0171,0.0194,0.022,0.5249,0.3184,0.0912,0.038,0.0159,0.0085,0.0031,0.065,0.0447,0.0737,0.0574,0.1767,0.2913,0.2913,0.7936,0.1379,0.0272,0.0061,0.0078,0.0088,0.0187,0.0147,0.0583,0.1399,0.1797,0.2614,0.3357,0.0101,0.0067,0.0438,0.119,0.1528,0.4706,0.1731,0.0341,0.0814,0.1952,0.2212,0.1723,0.1723,0.1342,0.0233,0.5871,0.2447,0.09,0.0258,0.0228,0.0201,0.0095,False,0.019351,0.048708,0.0
City of London,abchurch_lane/north_to_south/007_n00002_S_L.jpg,n00002,abchurch_lane,north_to_south,L,7,S,True,,abchurch_lane,,,1,1.0489795918367348,6,5.792377927749107,1,1.378934191702432,2,2.31482040446725,5,5.120758483033932,1,1.1695168295331162,4,3.7195351758793973,5,5.131614199598125,5,4.591964285714286,1,1.173550328227571,,,,,,,,,,,,1,6,1,2,6,1,6,6,6,1,0.9065,0.0351,0.0188,0.0048,0.0101,0.0101,0.0147,0.0365,0.0322,0.0876,0.0682,0.1443,0.5038,0.1274,0.5592,0.2641,0.0589,0.0169,0.0246,0.0405,0.0357,0.2277,0.3313,0.2009,0.1219,0.0739,0.0396,0.0047,0.193,0.0912,0.0912,0.0627,0.1503,0.2187,0.193,0.7368,0.088,0.0416,0.0135,0.0252,0.0416,0.0534,0.1405,0.124,0.1804,0.1592,0.124,0.2316,0.0403,0.0333,0.0705,0.1493,0.1692,0.1493,0.279,0.1493,0.1846,0.112,0.1438,0.0988,0.112,0.237,0.112,0.7312,0.144,0.053,0.0152,0.0221,0.0195,0.0152,False,0.246168,0.08684,0.0
City of London,abchurch_lane/north_to_south/007_n00002_S_R.jpg,n00002,abchurch_lane,north_to_south,R,7,S,True,,abchurch_lane,,,2,1.6095360824742269,5,5.4087109546854375,3,2.882895134481717,3,2.832128332580208,6,5.535705551479579,3,2.8734873487348733,4,4.442428730099963,5,5.165888841747985,6,5.562190175754845,3,3.275669938975856,,,,,,,,,,,,1,6,3,2,6,2,4,6,6,3,0.478,0.1552,0.2258,0.0733,0.0392,0.0185,0.0099,0.0211,0.0395,0.1217,0.1217,0.2273,0.3308,0.1379,0.1074,0.2577,0.3309,0.1563,0.0738,0.0575,0.0165,0.1724,0.2508,0.2213,0.1724,0.1046,0.0719,0.0067,0.0045,0.014,0.0553,0.1328,0.281,0.4089,0.1034,0.1416,0.2645,0.1818,0.1249,0.1249,0.1103,0.0521,0.0173,0.0603,0.1638,0.2701,0.2103,0.2701,0.0082,0.0034,0.0219,0.1114,0.208,0.2357,0.343,0.0765,0.0134,0.0413,0.1122,0.1272,0.185,0.4438,0.0771,0.0655,0.1387,0.3769,0.178,0.1387,0.0953,0.0069,False,0.067063,0.120167,0.0
City of London,abchurch_lane/north_to_south/008_n00001_S_L.jpg,n00001,abchurch_lane,north_to_south,L,8,S,True,,abchurch_lane,,,1,1.0668226432321388,5,5.4091514882274545,1,1.3365695792880259,3,2.833921370967742,4,4.089511754068717,1,1.2875220246676278,5,5.145727040816326,5,5.482978723404256,5,5.243740795287187,1,1.2654921959511667,,,,,,,,,,,,1,6,1,2,6,1,6,6,6,1,0.8762,0.056,0.03,0.0067,0.0125,0.0076,0.011,0.0305,0.0391,0.1205,0.1205,0.2251,0.289,0.1753,0.5871,0.2773,0.0546,0.0177,0.0177,0.0228,0.0228,0.1751,0.2548,0.1984,0.1751,0.1062,0.0827,0.0077,0.1253,0.1106,0.1609,0.1106,0.1824,0.2342,0.076,0.6243,0.2027,0.0658,0.0166,0.0242,0.0311,0.0352,0.035,0.0653,0.1383,0.1776,0.1568,0.376,0.0509,0.0044,0.0253,0.0999,0.1647,0.2115,0.3488,0.1454,0.0641,0.0933,0.1538,0.1198,0.1358,0.369,0.0641,0.6471,0.2101,0.0773,0.0195,0.0195,0.0172,0.0092,False,0.10811,0.093327,0.0
City of London,abchurch_lane/north_to_south/008_n00001_S_R.jpg,n00001,abchurch_lane,north_to_south,R,8,S,True,,abchurch_lane,,,1,1.0264435764805235,6,5.821421654077087,1,1.448727833461835,1,1.4139103270856304,5,5.261662198391421,1,1.215738603577611,3,2.963791512915129,3,3.3224371373307546,4,3.879252835223482,1,1.2451930355791068,,,,,,,,,,,,1,6,1,1,6,1,2,3,6,1,0.9473,0.0252,0.0119,0.0027,0.0039,0.0027,0.0064,0.0035,0.0074,0.033,0.048,0.2439,0.5163,0.1479,0.5188,0.3566,0.0483,0.0157,0.0178,0.0228,0.0201,0.5442,0.2571,0.0946,0.0506,0.0271,0.0211,0.0053,0.0778,0.0778,0.1282,0.1131,0.1865,0.2714,0.1453,0.6932,0.2251,0.0269,0.0077,0.0099,0.0163,0.0209,0.149,0.2457,0.2168,0.1315,0.1315,0.116,0.0095,0.0741,0.2013,0.2585,0.1568,0.1776,0.1077,0.024,0.0909,0.1323,0.1924,0.1499,0.1323,0.2471,0.0551,0.6605,0.1892,0.0696,0.0199,0.0226,0.0226,0.0155,False,0.005277,0.057477,0.0
City of London,abchurch_lane/north_to_south/009_n00000_S_L.jpg,n00000,abchurch_lane,north_to_south,L,9,S,True,,abchurch_lane,,,1,1.0401408450704226,6,6.314173877214668,1,1.4518987341772154,2,2.0340768277571253,5,5.271369485294118,1,1.3941920117259068,3,3.281981981981982,5,5.063715277777778,5,5.442594718714122,1,1.1780401255629862,,,,,,,,,,,,1,7,1,1,6,1,3,5,6,1,0.923,0.0406,0.0169,0.0038,0.0048,0.0029,0.008,0.0031,0.0083,0.0422,0.0614,0.189,0.2427,0.4534,0.5135,0.3115,0.0788,0.0226,0.0226,0.0256,0.0256,0.3228,0.3228,0.1525,0.0925,0.0561,0.0437,0.0097,0.0428,0.0623,0.132,0.1164,0.2176,0.2793,0.1495,0.5458,0.2578,0.0837,0.024,0.0272,0.0308,0.0308,0.1188,0.1959,0.222,0.1526,0.1347,0.1526,0.0234,0.0077,0.039,0.1201,0.1747,0.288,0.288,0.0825,0.0162,0.0565,0.1356,0.1356,0.1742,0.4178,0.0641,0.7327,0.1635,0.0601,0.0134,0.0134,0.0105,0.0063,False,0.080656,0.166087,0.0
City of London,abchurch_lane/north_to_south/009_n00000_S_R.jpg,n00000,abchurch_lane,north_to_south,R,9,S,True,,abchurch_lane,,,1,1.0691550263338676,5,5.120957580848383,2,1.6,1,1.3852095170454546,5,4.811218678815489,2,1.8228021978021978,4,4.1802168021680215,4,4.442017259978425,6,5.743424955507217,1,1.2468848521243054,,,,,,,,,,,,1,5,1,1,6,1,4,3,6,1,0.8734,0.0633,0.0299,0.0059,0.0076,0.0059,0.0141,0.0284,0.0469,0.1636,0.1274,0.2381,0.2101,0.1854,0.4525,0.311,0.101,0.0328,0.0328,0.0371,0.0328,0.5632,0.266,0.0979,0.036,0.017,0.017,0.003,0.1368,0.1065,0.155,0.094,0.1756,0.2255,0.1065,0.408,0.2184,0.1325,0.043,0.0552,0.0626,0.0803,0.0272,0.0839,0.2012,0.2583,0.1775,0.2279,0.024,0.0322,0.0992,0.21,0.1854,0.21,0.21,0.0531,0.0093,0.0323,0.0879,0.0879,0.1642,0.5057,0.1128,0.6661,0.2163,0.0702,0.0178,0.0138,0.0108,0.0051,False,0.019474,0.117192,0.0
City of London,abchurch_lane/south_to_north/001_n00000_N_L.jpg,n00000,abchurch_lane,south_to_north,L,1,N,True,,abchurch_lane,,,1,1.0550790822009355,6,5.8232617400800875,2,1.8081489476524557,3,2.971063257065949,5,5.215488215488215,2,1.692964480874317,6,5.646399270738377,6,5.82633473305339,6,5.996432127447727,2,1.5327118644067796,,,,,,,,,,,,1,7,1,2,6,1,6,6,6,1,0.8978,0.0574,0.0239,0.0047,0.006,0.0032,0.0069,0.0057,0.0155,0.0613,0.0892,0.2424,0.2747,0.3113,0.3706,0.3706,0.1203,0.0391,0.0345,0.0345,0.0304,0.1352,0.2526,0.2229,0.1736,0.1193,0.082,0.0143,0.0194,0.0465,0.1263,0.1263,0.2673,0.3029,0.1114,0.426,0.2928,0.1221,0.035,0.0449,0.0396,0.0396,0.0017,0.01,0.0578,0.1224,0.2286,0.5485,0.0309,0.0014,0.0071,0.0465,0.0985,0.184,0.5001,0.1624,0.0019,0.0076,0.03,0.0436,0.1187,0.6026,0.1956,0.4864,0.295,0.123,0.0352,0.0311,0.0214,0.0079,False,0.142481,0.371566,0.0
City of London,abchurch_lane/south_to_north/001_n00000_N_R.jpg,n00000,abchurch_lane,south_to_north,R,1,N,True,,abchurch_lane,,,1,1.0313165743502344,5,4.683976261127596,1,1.2493932038834952,4,3.6390030832476876,2,2.218444909344491,1,1.2041809851088203,2,1.8379310344827589,5,5.227330779054917,3,3.0627360469995804,1,1.0998435243139142,,,,,,,,,,,,1,3,1,3,1,1,1,6,3,1,0.9388,0.0364,0.0118,0.0023,0.0034,0.0023,0.0049,0.0843,0.0744,0.2022,0.139,0.2022,0.2022,0.0955,0.6592,0.2425,0.0372,0.0121,0.0137,0.0155,0.0199,0.0716,0.1718,0.2205,0.1946,0.1718,0.1516,0.0181,0.2868,0.2868,0.174,0.0725,0.0931,0.0725,0.0143,0.6984,0.1558,0.0573,0.0164,0.0211,0.0239,0.0271,0.4009,0.2755,0.1671,0.0543,0.0423,0.0479,0.0121,0.017,0.0524,0.1257,0.1425,0.2349,0.3017,0.1257,0.1445,0.2103,0.2383,0.1445,0.1276,0.1126,0.0222,0.8308,0.1274,0.0251,0.0056,0.0044,0.0034,0.0034,False,0.310134,0.351989,0.0
