city,file,node_id,street,walk,side,seq,cardinal,usable,exclude_reason,osm_name,typology,face_id,vertical_greenery_median_round,vertical_greenery_median,vertical_hardscape_median_round,vertical_hardscape_median,green_eye_level_median_round,green_eye_level_median,sky_openness_median_round,sky_openness_median,walkable_ground_median_round,walkable_ground_median,green_softening_median_round,green_softening_median,signage_detail_median_round,signage_detail_median,facade_variation_median_round,facade_variation_median,ground_floor_activity_median_round,ground_floor_activity_median,resting_affordance_median_round,resting_affordance_median,arc_vegetation,arc_sky,arc_building,H_m,W_facade,HW_facade,HW_effective,HW_source,node_GVI,node_VEI,node_SVF_band,vertical_greenery_argmax,vertical_hardscape_argmax,green_eye_level_argmax,sky_openness_argmax,walkable_ground_argmax,green_softening_argmax,signage_detail_argmax,facade_variation_argmax,ground_floor_activity_argmax,resting_affordance_argmax,vertical_greenery_p1,vertical_greenery_p2,vertical_greenery_p3,vertical_greenery_p4,vertical_greenery_p5,vertical_greenery_p6,vertical_greenery_p7,vertical_hardscape_p1,vertical_hardscape_p2,vertical_hardscape_p3,vertical_hardscape_p4,vertical_hardscape_p5,vertical_hardscape_p6,vertical_hardscape_p7,green_eye_level_p1,green_eye_level_p2,green_eye_level_p3,green_eye_level_p4,green_eye_level_p5,green_eye_level_p6,green_eye_level_p7,sky_openness_p1,sky_openness_p2,sky_openness_p3,sky_openness_p4,sky_openness_p5,sky_openness_p6,sky_openness_p7,walkable_ground_p1,walkable_ground_p2,walkable_ground_p3,walkable_ground_p4,walkable_ground_p5,walkable_ground_p6,walkable_ground_p7,green_softening_p1,green_softening_p2,green_softening_p3,green_softening_p4,green_softening_p5,green_softening_p6,green_softening_p7,signage_detail_p1,signage_detail_p2,signage_detail_p3,signage_detail_p4,signage_detail_p5,signage_detail_p6,signage_detail_p7,facade_variation_p1,facade_variation_p2,facade_variation_p3,facade_variation_p4,facade_variation_p5,facade_variation_p6,facade_variation_p7,ground_floor_activity_p1,ground_floor_activity_p2,ground_floor_activity_p3,ground_floor_activity_p4,ground_floor_activity_p5,ground_floor_activity_p6,ground_floor_activity_p7,resting_affordance_p1,resting_affordance_p2,resting_affordance_p3,resting_affordance_p4,resting_affordance_p5,resting_affordance_p6,resting_affordance_p7
"Murray Hill, Manhattan",east_35th_street/east_to_west/032_n00329_W.jpg,n00329,east_35th_street,east_to_west,W,32,W,True,,East 35th Street,mid_block,f15,3,3.4466666666666668,5,4.980304534922211,3,3.3537839823659072,5,4.599467731204259,5,5.49577361264241,3,3.3084691708008505,5,5.2381239935587764,6,5.792712066905615,6,5.896190987124464,3,3.059506099375186,,,,18.025872,25.774765296621744,0.6993612470396625,0.6993612470396625,measured,2.547199204562119,0.8144852524051975,0.0912650473680845,3,5,3,4,6,3,6,6,6,3,0.0302,0.1193,0.3675,0.3243,0.1193,0.0342,0.0052,0.0193,0.0409,0.1427,0.1617,0.3021,0.2353,0.0981,0.0296,0.117,0.4083,0.2476,0.117,0.0709,0.0096,0.0071,0.0407,0.1253,0.3006,0.3006,0.2066,0.0192,0.0056,0.0197,0.078,0.1285,0.2721,0.3959,0.1001,0.063,0.194,0.2822,0.194,0.1333,0.1038,0.0297,0.0046,0.0262,0.1174,0.1708,0.2484,0.4096,0.0231,0.0018,0.0092,0.0529,0.127,0.163,0.5022,0.1439,0.0043,0.0169,0.0589,0.0757,0.1248,0.5592,0.1602,0.1236,0.1799,0.3361,0.1236,0.1236,0.0963,0.0167
"Murray Hill, Manhattan",east_35th_street/east_to_west/033_n00328_W.jpg,n00328,east_35th_street,east_to_west,W,33,W,True,,East 35th Street,mid_block,f15,4,4.073372927493195,5,4.983581635755549,5,4.684857801691007,5,4.667173766058148,6,5.543155452436195,4,4.484480082772892,5,4.505796479175611,6,5.847903741304757,6,5.581398049233628,4,3.5609375,,,,17.21999503416,20.74780387565542,0.8299671202485772,0.8299671202485772,measured,6.803054528770866,0.8512973286107757,0.0709053838149468,4,5,5,5,6,3,6,6,6,3,0.0065,0.0426,0.2163,0.4041,0.2451,0.0796,0.0058,0.0186,0.0393,0.1371,0.1553,0.3289,0.2561,0.0648,0.0069,0.0399,0.1789,0.2296,0.2602,0.2602,0.0242,0.0089,0.0454,0.1397,0.261,0.2958,0.2303,0.0189,0.0054,0.0189,0.0749,0.1235,0.2614,0.431,0.0849,0.0204,0.0806,0.219,0.1933,0.219,0.219,0.0489,0.0131,0.0667,0.1814,0.2329,0.2329,0.2639,0.009,0.0015,0.0076,0.0495,0.1047,0.1524,0.5319,0.1524,0.0167,0.0514,0.1234,0.1234,0.1584,0.4306,0.0961,0.0459,0.0971,0.3388,0.16,0.1813,0.16,0.0169
"Murray Hill, Manhattan",east_35th_street/east_to_west/034_n00327_W.jpg,n00327,east_35th_street,east_to_west,W,34,W,True,,East 35th Street,mid_block,f15,3,3.171911421911422,5,5.321486268174475,4,3.6233451015004414,5,4.562595712098009,6,5.588021565869667,3,3.3014545454545456,5,4.9490637892732465,6,5.958864215507827,6,5.695213163799552,3,3.078638144019283,,,,16.669512,20.62807916951646,0.8080981201891881,0.8080981201891881,measured,2.97846320467876,0.878171975803282,0.0652990212253769,3,5,3,4,6,3,5,6,6,3,0.0512,0.1578,0.429,0.2297,0.0957,0.0311,0.0054,0.012,0.0254,0.1005,0.1139,0.3095,0.2731,0.1657,0.0271,0.107,0.3297,0.2266,0.1557,0.1374,0.0164,0.0115,0.0583,0.1584,0.2612,0.2612,0.2305,0.0189,0.0061,0.0187,0.0741,0.1079,0.2587,0.4266,0.1079,0.0695,0.189,0.275,0.1472,0.1472,0.1299,0.0422,0.0058,0.0332,0.1313,0.1911,0.3151,0.3151,0.0084,0.0012,0.0054,0.0351,0.0842,0.1226,0.5494,0.2021,0.02,0.0479,0.1149,0.1014,0.1475,0.4011,0.1672,0.1221,0.1776,0.3319,0.1221,0.1221,0.1077,0.0165
"Murray Hill, Manhattan",east_35th_street/east_to_west/035_n00326_W.jpg,n00326,east_35th_street,east_to_west,W,35,W,True,,East 35th Street,mid_block,f15,3,3.0450230887634686,5,5.0825286662643325,4,3.899585444495624,4,4.426974143955276,5,5.28112594731144,4,4.041165865384615,5,4.621785714285714,6,6.031946955997589,6,5.776199804113614,3,3.20134558582212,,,,15.965424000000002,19.029031608837258,0.839003493618956,0.839003493618956,measured,4.68064649660867,0.8804901550511973,0.0594908441987498,3,5,3,4,6,3,5,6,6,3,0.0768,0.2086,0.3898,0.2086,0.087,0.0249,0.0043,0.024,0.0349,0.1219,0.1381,0.3314,0.2277,0.1219,0.0229,0.1026,0.2788,0.2171,0.1916,0.1691,0.0178,0.0183,0.0724,0.1532,0.2862,0.2526,0.1967,0.0207,0.0084,0.0292,0.1019,0.1483,0.2771,0.3558,0.0794,0.0421,0.1468,0.2421,0.1664,0.1885,0.1664,0.0477,0.0158,0.0551,0.1699,0.2181,0.28,0.2471,0.0139,0.0014,0.0063,0.0409,0.0763,0.1111,0.4977,0.2664,0.023,0.0488,0.1032,0.0911,0.1326,0.4084,0.1929,0.1121,0.1631,0.3047,0.127,0.1439,0.127,0.0221
"Murray Hill, Manhattan",east_35th_street/east_to_west/036_n00325_W.jpg,n00325,east_35th_street,east_to_west,W,36,W,True,,East 35th Street,mid_block,f15,3,2.731839484475689,5,5.208025520483545,3,2.885166804521643,4,4.419716646989374,5,5.232714701601164,3,2.6552901023890785,6,5.504460580912863,6,5.953871499176277,6,5.8441211401425175,3,3.124658780709736,,,,16.56588,19.04573841071031,0.8697945778087675,0.8697945778087675,measured,1.3044569966829256,0.8894784946471108,0.0583004746765511,3,5,3,4,6,2,6,6,6,3,0.1827,0.2346,0.3414,0.1423,0.0672,0.0247,0.0071,0.019,0.0314,0.1241,0.1241,0.2978,0.2628,0.1407,0.1039,0.2493,0.3627,0.1334,0.0809,0.0556,0.0141,0.0184,0.0825,0.1746,0.2541,0.2541,0.1979,0.0184,0.0083,0.0328,0.1146,0.1471,0.2748,0.3529,0.0695,0.1422,0.301,0.2344,0.0977,0.0977,0.0862,0.0407,0.0029,0.0165,0.0838,0.1381,0.258,0.482,0.0187,0.0014,0.0061,0.0396,0.0838,0.1219,0.5463,0.201,0.0093,0.0285,0.0775,0.0878,0.1277,0.5052,0.164,0.107,0.1765,0.3297,0.1213,0.1374,0.107,0.0211
"Murray Hill, Manhattan",east_35th_street/east_to_west/037_n00324_W.jpg,n00324,east_35th_street,east_to_west,W,37,W,True,,East 35th Street,mid_block,f15,3,2.712703820880993,5,5.3110997963340125,3,3.0186567164179103,4,3.901609657947686,5,5.444731977818854,3,2.7624958622972526,5,5.201132626963829,6,5.589577329490874,6,5.658573596358118,3,2.6089030206677264,,,,16.77924,18.264057200466844,0.9187027732026108,0.9187027732026108,measured,2.6464796630257235,0.8793977119839457,0.0651083598651373,3,5,3,4,6,2,6,6,6,3,0.0917,0.32,0.4109,0.1334,0.0337,0.0085,0.0017,0.0114,0.0242,0.1084,0.1228,0.2946,0.26,0.1787,0.0598,0.2089,0.4422,0.1843,0.0598,0.0411,0.0038,0.0489,0.1507,0.1935,0.2485,0.1935,0.1507,0.014,0.0072,0.0252,0.0878,0.1278,0.2705,0.3936,0.0878,0.1111,0.3021,0.3021,0.1259,0.0764,0.0674,0.015,0.005,0.0255,0.1141,0.166,0.2737,0.3982,0.0175,0.0032,0.0183,0.0929,0.1532,0.1967,0.4164,0.1193,0.0179,0.0486,0.1166,0.1029,0.1498,0.4613,0.1029,0.2161,0.2449,0.3145,0.0901,0.0702,0.0547,0.0095
"Murray Hill, Manhattan",east_35th_street/east_to_west/038_n00323_W.jpg,n00323,east_35th_street,east_to_west,W,38,W,True,,East 35th Street,mid_block,f15,3,2.8723951285520974,5,5.0971379011274935,3,3.3780777217442894,5,4.5552147239263805,5,4.58703071672355,3,3.2539425798625152,5,4.864814814814815,6,5.899139784946237,6,5.657503714710253,2,2.324939634356675,,,,21.662136,18.07707644317877,1.1983207609975022,1.1983207609975022,measured,7.672129977676141,0.869035711668921,0.0617656610135337,3,5,3,4,5,3,6,6,6,2,0.1059,0.2539,0.3695,0.1745,0.0642,0.0268,0.0053,0.0134,0.0322,0.1273,0.1273,0.3459,0.2098,0.1442,0.0403,0.1592,0.3371,0.2045,0.1405,0.1094,0.009,0.0095,0.0546,0.1483,0.2771,0.2771,0.2158,0.0177,0.0149,0.0588,0.2054,0.2054,0.2637,0.2327,0.0191,0.0709,0.2183,0.2473,0.1324,0.1324,0.15,0.0487,0.0105,0.0469,0.1638,0.1856,0.27,0.306,0.0173,0.0019,0.0097,0.049,0.1038,0.151,0.465,0.2197,0.0207,0.0563,0.1191,0.1051,0.135,0.4711,0.0928,0.2559,0.2899,0.2559,0.0733,0.0647,0.0504,0.0099
"Murray Hill, Manhattan",east_35th_street/east_to_west/039_n00322_W.jpg,n00322,east_35th_street,east_to_west,W,39,W,True,,East 35th Street,mid_block,f15,4,4.125808189655173,5,5.068075665576833,5,5.262348024316109,4,4.275722543352601,6,5.5321304992585265,5,5.014252336448598,5,4.573218761188686,6,5.800201477501679,6,5.633786366532172,2,2.025415896487985,,,,49.961292,,,1.1983207609975022,radius_mean,5.159739619603095,0.8065973566773197,0.0871609997863568,4,5,6,4,6,6,5,6,6,1,0.0068,0.0391,0.2252,0.3712,0.2551,0.0939,0.0087,0.0089,0.0213,0.1083,0.1227,0.4282,0.2023,0.1083,0.0055,0.0314,0.1243,0.1409,0.2632,0.3829,0.0518,0.0351,0.0955,0.1574,0.2595,0.2021,0.229,0.0213,0.0122,0.0293,0.0903,0.1159,0.2454,0.4046,0.1023,0.0137,0.0695,0.1666,0.147,0.214,0.2747,0.1145,0.0158,0.0623,0.1919,0.2175,0.2793,0.2175,0.0158,0.0023,0.0119,0.0605,0.128,0.1643,0.4467,0.1862,0.0207,0.0496,0.1191,0.1051,0.1529,0.4709,0.0818,0.3246,0.3246,0.1969,0.0564,0.0439,0.0439,0.0098
"Murray Hill, Manhattan",east_35th_street/east_to_west/040_n00321_W.jpg,n00321,east_35th_street,east_to_west,W,40,W,True,,East 35th Street,mid_block,f15,3,3.3947233606557377,5,5.280244615793672,3,3.258726352251532,3,3.3198329853862214,5,5.102173913043478,3,3.321385420861861,5,5.195813639432815,6,5.862605602489996,6,5.861090435429848,2,2.4171838634600467,,,,57.10902223537201,,,3.524237376675128,radius_mean,5.94150702602603,0.8006574054046952,0.0883529883161813,3,5,3,3,6,3,6,6,6,1,0.022,0.1267,0.3904,0.304,0.1118,0.0411,0.0038,0.0042,0.0129,0.0839,0.1077,0.3761,0.2585,0.1568,0.0349,0.1773,0.3753,0.2009,0.1218,0.0837,0.0061,0.0881,0.2114,0.2395,0.2114,0.1282,0.1131,0.0082,0.0156,0.048,0.1304,0.1477,0.276,0.3127,0.0698,0.0554,0.2191,0.2483,0.1329,0.1506,0.1506,0.0431,0.0042,0.0243,0.109,0.1585,0.2962,0.3803,0.0275,0.0016,0.0093,0.0609,0.1004,0.1655,0.4498,0.2125,0.0053,0.0208,0.0642,0.0824,0.1359,0.5374,0.154,0.2578,0.2578,0.2578,0.0837,0.0739,0.0575,0.0113
"Murray Hill, Manhattan",east_35th_street/east_to_west/041_n00320_W.jpg,n00320,east_35th_street,east_to_west,W,41,W,True,,East 35th Street,mid_block,f15,3,2.596838602329451,5,5.038910505836576,3,2.8442286652078774,4,3.603648424543947,3,3.4533259830944503,2,2.324143302180685,4,4.128126281262813,6,5.64493670886076,4,3.9130548302872064,2,1.6304625199362042,,,,64.663660470744,18.34827043680856,3.524237376675128,3.524237376675128,measured,1.6649049454125913,0.8927107947993884,0.0539790074448164,3,5,3,3,3,2,4,6,6,1,0.2341,0.2341,0.3005,0.142,0.0592,0.0247,0.0055,0.0348,0.0506,0.1559,0.1376,0.257,0.257,0.1071,0.1187,0.2512,0.3656,0.1345,0.072,0.0495,0.0086,0.0419,0.1878,0.2412,0.2412,0.1658,0.1139,0.0083,0.0688,0.165,0.2721,0.187,0.165,0.1285,0.0135,0.2206,0.321,0.1947,0.0812,0.0812,0.0716,0.0299,0.0257,0.1017,0.2152,0.2439,0.2152,0.1899,0.0083,0.0028,0.0143,0.0641,0.1539,0.1976,0.474,0.0933,0.0622,0.1316,0.217,0.1915,0.1316,0.2459,0.0202,0.4562,0.3135,0.1481,0.033,0.0257,0.0177,0.0057
"Murray Hill, Manhattan",east_35th_street/east_to_west/042_n00319_W.jpg,n00319,east_35th_street,east_to_west,W,42,W,True,,East 35th Street,mid_block,f15,4,3.595153243050606,6,5.594049586776859,3,3.243232484076433,4,3.9233678343949046,5,4.626189491104675,3,2.870362190812721,4,4.303825622775801,5,5.490610328638498,5,4.735273492286115,2,1.5924752475247526,,,,64.663660470744,40.55909179705842,1.5943074069383818,1.5943074069383818,measured,1.0162330973852238,0.9069085689178796,0.0460696999288178,3,6,3,4,5,2,4,6,6,1,0.0553,0.1326,0.2806,0.2806,0.1502,0.0911,0.0096,0.0361,0.0361,0.1113,0.0982,0.2079,0.3025,0.2079,0.0578,0.1571,0.3768,0.2017,0.1223,0.0742,0.01,0.0385,0.1524,0.1957,0.2512,0.1957,0.1524,0.0142,0.0289,0.0785,0.1883,0.1883,0.2417,0.2417,0.0327,0.1373,0.2566,0.2264,0.107,0.107,0.1212,0.0446,0.0209,0.0937,0.1984,0.2248,0.2248,0.2248,0.0127,0.004,0.0259,0.0905,0.1917,0.1917,0.4057,0.0905,0.0594,0.111,0.1831,0.1426,0.1426,0.3018,0.0594,0.4718,0.2525,0.1532,0.0439,0.0387,0.0302,0.0098
"Murray Hill, Manhattan",east_35th_street/east_to_west/043_n00318_W.jpg,n00318,east_35th_street,east_to_west,W,43,W,True,,East 35th Street,mid_block,f15,4,3.6452034883720934,5,5.195699391833188,4,3.5267330383480826,4,3.8367920449632513,5,5.075597892176733,3,3.294642857142857,4,4.069097502014505,5,5.1449119793902955,5,4.968824228028502,2,1.6692257432211695,,,,30.986108582904,52.05569482937396,0.5952491592796717,0.5952491592796717,measured,2.930914420315598,0.9281989813876648,0.0293746775273915,4,6,3,4,6,3,3,6,6,1,0.032,0.1117,0.3036,0.344,0.1434,0.0598,0.0056,0.0514,0.0514,0.1396,0.1232,0.2302,0.2956,0.1087,0.0286,0.1131,0.3483,0.2712,0.1452,0.0881,0.0056,0.0516,0.159,0.2041,0.2313,0.1802,0.159,0.0148,0.0158,0.0486,0.132,0.1695,0.2467,0.3167,0.0707,0.07,0.1679,0.3136,0.1902,0.1307,0.1018,0.0257,0.0159,0.0913,0.2482,0.2482,0.2191,0.1706,0.0066,0.0055,0.0315,0.11,0.2055,0.2329,0.3389,0.0756,0.0228,0.0702,0.1908,0.1486,0.1684,0.3565,0.0426,0.4454,0.3061,0.1639,0.0366,0.0251,0.0173,0.0056
"Murray Hill, Manhattan",east_35th_street/east_to_west/044_n00317_W.jpg,n00317,east_35th_street,east_to_west,W,44,W,True,,East 35th Street,mid_block,f15,4,4.02134900990099,5,4.995950554134698,3,3.419711255156158,4,4.005252100840337,4,4.482675906183369,3,3.0078705728027986,4,4.231362467866323,6,5.54345252190386,4,4.153172866520788,2,1.9248275862068964,,,,19.839432,21.760173991767715,0.9117313127875556,0.9117313127875556,measured,7.312978054645224,0.941933126174612,0.0230965144630419,4,6,3,4,5,2,3,6,6,1,0.0234,0.0817,0.2221,0.3232,0.2221,0.1189,0.0086,0.0672,0.0593,0.1612,0.1256,0.2346,0.2658,0.0863,0.0405,0.1415,0.3394,0.1817,0.1603,0.1249,0.0116,0.0414,0.1444,0.1854,0.238,0.2101,0.1636,0.0172,0.0288,0.0886,0.2126,0.1876,0.2409,0.2126,0.0288,0.1224,0.2287,0.2287,0.108,0.108,0.1387,0.0655,0.0263,0.1041,0.2204,0.1945,0.2204,0.2204,0.0141,0.0037,0.021,0.0832,0.1761,0.1995,0.4223,0.0942,0.0648,0.121,0.1995,0.1371,0.1371,0.2902,0.0504,0.3724,0.29,0.1993,0.0504,0.0445,0.0346,0.0088
"Murray Hill, Manhattan",east_35th_street/east_to_west/045_n00316_W.jpg,n00316,east_35th_street,east_to_west,W,45,W,True,,East 35th Street,mid_block,f15,5,4.537544311956172,5,4.944264943457189,6,5.555157894736842,4,4.3422609267170555,6,5.659090909090909,6,5.674214417744917,4,4.394748755092802,6,5.7481121898597625,6,5.67335182419458,3,3.273435066957334,,,,19.839432,20.02239403525813,0.990862129926324,0.990862129926324,measured,6.549476249263984,0.93930787065595,0.0268618535792701,4,5,6,4,6,6,6,6,6,3,0.005,0.0289,0.1466,0.3103,0.3103,0.1882,0.0106,0.0175,0.0419,0.1462,0.1657,0.3095,0.241,0.0783,0.0022,0.0143,0.0643,0.106,0.2881,0.475,0.0501,0.0172,0.0769,0.1437,0.3043,0.237,0.2091,0.0118,0.0081,0.0248,0.0675,0.0982,0.2355,0.44,0.126,0.0042,0.019,0.0752,0.0966,0.2317,0.4328,0.1405,0.0205,0.0813,0.195,0.2209,0.2209,0.2503,0.011,0.0019,0.0109,0.0627,0.1172,0.1932,0.4635,0.1505,0.016,0.0494,0.1046,0.1046,0.1522,0.4687,0.1046,0.092,0.1517,0.3211,0.1338,0.1517,0.1338,0.016
"Murray Hill, Manhattan",east_35th_street/east_to_west/046_n00315_W.jpg,n00315,east_35th_street,east_to_west,W,46,W,True,,East 35th Street,mid_block,f15,3,3.1531225503004965,5,5.300032701111838,4,4.435340572556762,4,4.064596273291926,5,5.4700349956255465,5,4.512447158290278,5,4.990207156308851,6,5.712896503820329,6,5.679568251199302,2,1.9230370114147357,,,,19.05762,20.041395969548777,0.9509128021299744,0.9509128021299744,measured,7.29881306042759,0.935027541661792,0.0299403176738482,3,5,3,4,6,3,6,6,6,1,0.0665,0.1808,0.3827,0.2321,0.0968,0.0356,0.0055,0.0105,0.0251,0.1125,0.1125,0.3058,0.2699,0.1637,0.0129,0.0745,0.2295,0.2026,0.2295,0.2295,0.0214,0.0141,0.1045,0.1953,0.322,0.2213,0.1342,0.0086,0.0166,0.0397,0.108,0.1223,0.2286,0.3769,0.108,0.0154,0.0888,0.2129,0.1879,0.2129,0.2129,0.0691,0.0091,0.0407,0.1421,0.1825,0.2655,0.3409,0.0192,0.0023,0.013,0.0662,0.1237,0.204,0.4319,0.1589,0.0157,0.0427,0.1023,0.1159,0.1489,0.4586,0.1159,0.3713,0.2891,0.1754,0.0569,0.0502,0.0443,0.0127
"Murray Hill, Manhattan",east_35th_street/east_to_west/047_n00314_W.jpg,n00314,east_35th_street,east_to_west,W,47,W,True,,East 35th Street,mid_block,f15,1,1.1998448081264108,6,5.909245283018868,2,2.0805692274769956,4,4.489281684843926,5,5.347892590074779,2,1.8879559930515344,6,5.562487089444329,6,5.849214446031422,6,5.925049665884052,2,1.914290621779457,,,,56.388000000000005,20.15215958461465,2.7981120218524835,2.7981120218524835,measured,1.888313421819281,0.8368253810785111,0.0810319875614994,1,7,2,4,6,1,6,6,6,1,0.7088,0.1582,0.0747,0.0189,0.0214,0.0101,0.0079,0.0062,0.0116,0.067,0.0759,0.2339,0.265,0.3403,0.2207,0.4673,0.1719,0.0558,0.0384,0.0299,0.016,0.017,0.0672,0.1613,0.2659,0.2347,0.2347,0.0193,0.0061,0.0242,0.0843,0.139,0.2942,0.3778,0.0744,0.3454,0.3454,0.1271,0.0412,0.053,0.0467,0.0412,0.0022,0.0129,0.0742,0.1224,0.2591,0.4841,0.045,0.0016,0.0079,0.0517,0.1094,0.1591,0.4901,0.1803,0.0037,0.0148,0.0584,0.0661,0.1235,0.5537,0.1798,0.3738,0.2911,0.1766,0.0573,0.0506,0.0394,0.0113
"Murray Hill, Manhattan",east_35th_street/west_to_east/001_n00314_E.jpg,n00314,east_35th_street,west_to_east,W,1,E,True,,East 35th Street,mid_block,f15,3,2.9232693911592995,5,5.39732746955345,3,3.2079496968335954,4,4.358923685010641,5,5.450147167034585,3,3.152729567686967,5,5.443548387096774,6,5.913661434026305,6,5.850470809792844,3,2.5277574872169466,,,,56.388000000000005,20.15215958461465,2.7981120218524835,2.7981120218524835,measured,1.888313421819281,0.8368253810785111,0.0810319875614994,3,5,3,4,6,3,6,6,6,2,0.0944,0.1999,0.4796,0.1557,0.0505,0.0145,0.0053,0.0115,0.0243,0.096,0.1087,0.2956,0.2608,0.2031,0.0366,0.1446,0.4453,0.2104,0.0877,0.0683,0.0072,0.0099,0.0572,0.1554,0.3289,0.2562,0.1761,0.0164,0.0056,0.0223,0.0882,0.1284,0.2718,0.3954,0.0882,0.0624,0.2178,0.3169,0.1696,0.1166,0.0908,0.026,0.0039,0.0225,0.1008,0.1466,0.2418,0.4517,0.0327,0.0017,0.0086,0.0497,0.0928,0.153,0.4714,0.2227,0.0059,0.0233,0.0719,0.0814,0.1343,0.531,0.1521,0.2133,0.2738,0.2738,0.0889,0.0785,0.0611,0.0106
"Murray Hill, Manhattan",east_35th_street/west_to_east/002_n00315_E.jpg,n00315,east_35th_street,west_to_east,W,2,E,True,,East 35th Street,mid_block,f15,3,3.336678374310085,5,4.944300518134715,4,4.2723639132089835,4,3.932413552217953,5,4.84472049689441,4,4.309454896285576,4,4.459090909090909,6,5.770960929250264,6,5.711273760104872,2,2.4728326008789447,,,,19.05762,20.041395969548777,0.9509128021299744,0.9509128021299744,measured,7.29881306042759,0.935027541661792,0.0299403176738482,3,5,4,4,5,3,6,6,6,1,0.0476,0.1142,0.3986,0.274,0.1142,0.042,0.0094,0.0197,0.0418,0.1459,0.1653,0.3088,0.2405,0.0781,0.0131,0.0586,0.2319,0.2627,0.2046,0.2046,0.0244,0.0387,0.1352,0.1967,0.2863,0.1967,0.1352,0.0111,0.0198,0.0611,0.1465,0.1881,0.2737,0.2737,0.037,0.0218,0.0864,0.2349,0.2073,0.1829,0.2073,0.0594,0.027,0.0942,0.1995,0.176,0.2261,0.2562,0.021,0.0022,0.0126,0.0641,0.1197,0.1742,0.4735,0.1537,0.0157,0.0426,0.1021,0.1021,0.1486,0.4577,0.1311,0.2503,0.2503,0.2503,0.0921,0.0813,0.0633,0.0125
"Murray Hill, Manhattan",east_35th_street/west_to_east/003_n00316_E.jpg,n00316,east_35th_street,west_to_east,W,3,E,True,,East 35th Street,mid_block,f15,3,3.3616504854368934,5,5.300252161383285,3,3.3264206840829518,3,3.06031050955414,4,4.456896551724138,3,3.2656660412757974,4,4.44765978862607,6,5.818296529968454,6,5.589655958077011,3,2.608372721134369,,,,19.839432,20.02239403525813,0.990862129926324,0.990862129926324,measured,6.549476249263984,0.93930787065595,0.0268618535792701,3,5,3,2,5,3,6,6,6,3,0.0573,0.1557,0.3296,0.2908,0.1212,0.0394,0.006,0.0177,0.0376,0.1157,0.1157,0.2776,0.2449,0.1908,0.0502,0.1366,0.3713,0.1987,0.1366,0.0939,0.0127,0.1047,0.2512,0.2512,0.1956,0.1186,0.072,0.0067,0.021,0.0734,0.1996,0.2262,0.2563,0.1996,0.0238,0.0865,0.1832,0.2665,0.1427,0.1427,0.1259,0.0525,0.0209,0.0828,0.1987,0.1987,0.2252,0.2551,0.0185,0.0019,0.0099,0.0568,0.1061,0.1749,0.4755,0.1749,0.0281,0.0673,0.1425,0.111,0.1258,0.4389,0.0864,0.2307,0.2307,0.2962,0.0962,0.0749,0.0583,0.013
"Murray Hill, Manhattan",east_35th_street/west_to_east/004_n00317_E.jpg,n00317,east_35th_street,west_to_east,W,4,E,True,,East 35th Street,mid_block,f15,4,3.7398893881783617,5,5.488042947779405,3,3.4032115497937534,3,3.1689908256880734,4,3.7933930571108623,4,4.1064198958935805,2,2.4845605700712587,5,4.610778443113772,3,3.1812722419928825,1,1.277604003753519,,,,19.839432,21.760173991767715,0.9117313127875556,0.9117313127875556,measured,7.312978054645224,0.941933126174612,0.0230965144630419,3,6,3,3,3,3,2,4,3,1,0.0392,0.0939,0.2893,0.2893,0.1988,0.0731,0.0163,0.0356,0.0457,0.1243,0.1097,0.2049,0.3829,0.0968,0.059,0.1249,0.3394,0.2059,0.1415,0.1102,0.0191,0.1002,0.2122,0.2725,0.1873,0.1287,0.0885,0.0106,0.0512,0.1228,0.2599,0.1786,0.2024,0.1577,0.0274,0.0495,0.1188,0.2516,0.1729,0.1729,0.1526,0.0817,0.2025,0.2947,0.2295,0.1084,0.0844,0.0658,0.0147,0.0122,0.0549,0.169,0.246,0.2171,0.246,0.0549,0.1545,0.1751,0.2248,0.1363,0.1203,0.1545,0.0345,0.6394,0.2352,0.0764,0.0193,0.015,0.0091,0.0055
"Murray Hill, Manhattan",east_35th_street/west_to_east/005_n00318_E.jpg,n00318,east_35th_street,west_to_east,W,5,E,True,,East 35th Street,mid_block,f15,2,2.27656309934791,5,5.342923141537169,3,2.807675244010648,3,3.1924421144604636,3,3.431785714285714,3,2.782207520891365,4,4.060989010989011,5,5.142613359336909,4,3.945894334818587,1,1.459282130451563,,,,30.986108582904,52.05569482937396,0.5952491592796717,0.5952491592796717,measured,2.930914420315598,0.9281989813876648,0.0293746775273915,1,6,3,2,3,3,3,6,6,1,0.2954,0.2607,0.2954,0.0959,0.0353,0.013,0.0042,0.0251,0.0469,0.1274,0.1125,0.2381,0.3057,0.1444,0.1464,0.213,0.4508,0.1292,0.037,0.0198,0.0039,0.1081,0.2289,0.2289,0.202,0.1389,0.0842,0.0089,0.0802,0.1499,0.28,0.1698,0.1698,0.1323,0.0179,0.1537,0.2535,0.2872,0.1357,0.0823,0.0641,0.0236,0.0316,0.1251,0.2337,0.182,0.2063,0.2063,0.0149,0.0062,0.0356,0.1244,0.2051,0.2051,0.3381,0.0855,0.0742,0.1386,0.2017,0.1571,0.1386,0.2589,0.0309,0.5182,0.2774,0.131,0.0292,0.0228,0.0156,0.0058
