idx,sheet,street,direction,seq,node_id,file,vlm_structure,vlm_type,in_view,shed_in_view,shed_nearest_m
106,9,2nd_avenue,north_to_south,22,n00056,2nd_avenue/north_to_south/22_n00056_S.jpg,True,facade_scaffold,False,False,45.1
107,9,2nd_avenue,north_to_south,23,n00055,2nd_avenue/north_to_south/23_n00055_S.jpg,False,,False,False,64.5
108,9,2nd_avenue,north_to_south,24,n00054,2nd_avenue/north_to_south/24_n00054_S.jpg,True,facade_scaffold,False,False,84.2
109,10,2nd_avenue,north_to_south,25,n00053,2nd_avenue/north_to_south/25_n00053_S.jpg,False,,False,False,104.0
110,10,2nd_avenue,north_to_south,26,n00052,2nd_avenue/north_to_south/26_n00052_S.jpg,False,,False,False,100.3
111,10,2nd_avenue,north_to_south,27,n00051,2nd_avenue/north_to_south/27_n00051_S.jpg,False,,False,False,95.4
112,10,2nd_avenue,north_to_south,28,n00050,2nd_avenue/north_to_south/28_n00050_S.jpg,False,,False,False,94.5
113,10,2nd_avenue,north_to_south,29,n00049,2nd_avenue/north_to_south/29_n00049_S.jpg,False,,False,False,97.8
114,10,2nd_avenue,north_to_south,30,n00048,2nd_avenue/north_to_south/30_n00048_S.jpg,False,,True,False,104.8
115,10,2nd_avenue,north_to_south,31,n00047,2nd_avenue/north_to_south/31_n00047_S.jpg,False,,True,False,104.5
116,10,2nd_avenue,north_to_south,32,n00046,2nd_avenue/north_to_south/32_n00046_S.jpg,False,,False,False,103.2
117,10,2nd_avenue,south_to_north,1,n00046,2nd_avenue/south_to_north/01_n00046_N.jpg,False,,True,False,103.2
118,10,2nd_avenue,south_to_north,2,n00047,2nd_avenue/south_to_north/02_n00047_N.jpg,False,,False,False,104.5
119,10,2nd_avenue,south_to_north,3,n00048,2nd_avenue/south_to_north/03_n00048_N.jpg,False,,False,False,104.8
120,10,2nd_avenue,south_to_north,4,n00049,2nd_avenue/south_to_north/04_n00049_N.jpg,True,hoarding_fence,False,False,97.8
121,11,2nd_avenue,south_to_north,5,n00050,2nd_avenue/south_to_north/05_n00050_N.jpg,False,,False,False,94.5
122,11,2nd_avenue,south_to_north,6,n00051,2nd_avenue/south_to_north/06_n00051_N.jpg,False,,False,False,95.4
123,11,2nd_avenue,south_to_north,7,n00052,2nd_avenue/south_to_north/07_n00052_N.jpg,False,,False,False,100.3
124,11,2nd_avenue,south_to_north,8,n00053,2nd_avenue/south_to_north/08_n00053_N.jpg,False,,False,False,104.0
125,11,2nd_avenue,south_to_north,9,n00054,2nd_avenue/south_to_north/09_n00054_N.jpg,False,,False,False,84.2
126,11,2nd_avenue,south_to_north,10,n00055,2nd_avenue/south_to_north/10_n00055_N.jpg,False,,False,False,64.5
127,11,2nd_avenue,south_to_north,11,n00056,2nd_avenue/south_to_north/11_n00056_N.jpg,False,,False,False,45.1
128,11,2nd_avenue,south_to_north,12,n00058,2nd_avenue/south_to_north/12_n00058_N.jpg,False,,True,True,13.0
129,11,2nd_avenue,south_to_north,13,n00059,2nd_avenue/south_to_north/13_n00059_N.jpg,False,,False,False,21.0
130,11,2nd_avenue,south_to_north,14,n00060,2nd_avenue/south_to_north/14_n00060_N.jpg,False,,False,False,38.9
131,11,2nd_avenue,south_to_north,15,n00061,2nd_avenue/south_to_north/15_n00061_N.jpg,False,,False,False,40.9
132,11,2nd_avenue,south_to_north,16,n00062,2nd_avenue/south_to_north/16_n00062_N.jpg,False,,False,False,35.9
133,12,2nd_avenue,south_to_north,17,n00063,2nd_avenue/south_to_north/17_n00063_N.jpg,False,,False,False,41.2
134,12,2nd_avenue,south_to_north,18,n00064,2nd_avenue/south_to_north/18_n00064_N.jpg,False,,False,False,51.2
135,12,2nd_avenue,south_to_north,19,n00065,2nd_avenue/south_to_north/19_n00065_N.jpg,False,,False,False,31.2
136,12,2nd_avenue,south_to_north,20,n00066,2nd_avenue/south_to_north/20_n00066_N.jpg,True,facade_scaffold,True,True,11.2
137,12,2nd_avenue,south_to_north,21,n00067,2nd_avenue/south_to_north/21_n00067_N.jpg,True,facade_scaffold,False,False,8.9
138,12,2nd_avenue,south_to_north,22,n00068,2nd_avenue/south_to_north/22_n00068_N.jpg,True,facade_scaffold,False,False,28.8
139,12,2nd_avenue,south_to_north,23,n00069,2nd_avenue/south_to_north/23_n00069_N.jpg,True,facade_scaffold,False,False,48.8
140,12,2nd_avenue,south_to_north,24,n00070,2nd_avenue/south_to_north/24_n00070_N.jpg,False,,False,False,68.8
141,12,2nd_avenue,south_to_north,25,n00071,2nd_avenue/south_to_north/25_n00071_N.jpg,False,,False,False,63.7
142,12,2nd_avenue,south_to_north,26,n00072,2nd_avenue/south_to_north/26_n00072_N.jpg,False,,False,False,47.4
143,12,2nd_avenue,south_to_north,27,n00073,2nd_avenue/south_to_north/27_n00073_N.jpg,True,sidewalk_shed,False,False,35.1
144,12,2nd_avenue,south_to_north,28,n00074,2nd_avenue/south_to_north/28_n00074_N.jpg,True,sidewalk_shed,False,False,31.7
145,13,2nd_avenue,south_to_north,29,n00075,2nd_avenue/south_to_north/29_n00075_N.jpg,True,sidewalk_shed,True,True,25.6
146,13,2nd_avenue,south_to_north,30,n00076,2nd_avenue/south_to_north/30_n00076_N.jpg,False,,False,False,17.6
147,13,2nd_avenue,south_to_north,31,n00077,2nd_avenue/south_to_north/31_n00077_N.jpg,False,,False,False,27.7
148,13,2nd_avenue,south_to_north,32,n00078,2nd_avenue/south_to_north/32_n00078_N.jpg,False,,False,False,44.9
149,13,3rd_avenue,north_to_south,1,n00113,3rd_avenue/north_to_south/01_n00113_S.jpg,False,,True,True,16.6
150,13,3rd_avenue,north_to_south,2,n00112,3rd_avenue/north_to_south/02_n00112_S.jpg,False,,False,False,23.6
151,13,3rd_avenue,north_to_south,3,n00111,3rd_avenue/north_to_south/03_n00111_S.jpg,False,,False,False,40.5
152,13,3rd_avenue,north_to_south,4,n00110,3rd_avenue/north_to_south/04_n00110_S.jpg,False,,True,False,52.5
153,13,3rd_avenue,north_to_south,5,n00109,3rd_avenue/north_to_south/05_n00109_S.jpg,False,,False,False,32.6
154,13,3rd_avenue,north_to_south,6,n00108,3rd_avenue/north_to_south/06_n00108_S.jpg,True,facade_scaffold,True,True,12.8
155,13,3rd_avenue,north_to_south,7,n00107,3rd_avenue/north_to_south/07_n00107_S.jpg,True,facade_scaffold,False,False,8.2
156,13,3rd_avenue,north_to_south,8,n00106,3rd_avenue/north_to_south/08_n00106_S.jpg,True,facade_scaffold,False,False,27.8
157,14,3rd_avenue,north_to_south,9,n00105,3rd_avenue/north_to_south/09_n00105_S.jpg,True,facade_scaffold,False,False,47.7
158,14,3rd_avenue,north_to_south,10,n00104,3rd_avenue/north_to_south/10_n00104_S.jpg,False,,False,False,67.7
159,14,3rd_avenue,north_to_south,11,n00103,3rd_avenue/north_to_south/11_n00103_S.jpg,False,,False,False,87.6
160,14,3rd_avenue,north_to_south,12,n00102,3rd_avenue/north_to_south/12_n00102_S.jpg,False,,True,False,80.9
161,14,3rd_avenue,north_to_south,13,n00101,3rd_avenue/north_to_south/13_n00101_S.jpg,False,,False,False,60.9
162,14,3rd_avenue,north_to_south,14,n00100,3rd_avenue/north_to_south/14_n00100_S.jpg,False,,False,False,40.9
163,14,3rd_avenue,north_to_south,15,n00099,3rd_avenue/north_to_south/15_n00099_S.jpg,False,,True,True,21.0
164,14,3rd_avenue,north_to_south,16,n00098,3rd_avenue/north_to_south/16_n00098_S.jpg,True,hoarding_fence,True,True,2.9
165,14,3rd_avenue,north_to_south,17,n00097,3rd_avenue/north_to_south/17_n00097_S.jpg,False,,True,True,8.4
166,14,3rd_avenue,north_to_south,18,n00096,3rd_avenue/north_to_south/18_n00096_S.jpg,False,,True,False,20.7
167,14,3rd_avenue,north_to_south,19,n00095,3rd_avenue/north_to_south/19_n00095_S.jpg,False,,False,False,37.7
168,14,3rd_avenue,north_to_south,20,n00094,3rd_avenue/north_to_south/20_n00094_S.jpg,False,,False,False,48.0
169,15,3rd_avenue,north_to_south,21,n00093,3rd_avenue/north_to_south/21_n00093_S.jpg,False,,True,True,28.0
170,15,3rd_avenue,north_to_south,22,n00092,3rd_avenue/north_to_south/22_n00092_S.jpg,False,,True,True,8.0
171,15,3rd_avenue,north_to_south,23,n00091,3rd_avenue/north_to_south/23_n00091_S.jpg,False,,False,False,12.0
172,15,3rd_avenue,north_to_south,24,n00090,3rd_avenue/north_to_south/24_n00090_S.jpg,False,,False,False,32.0
173,15,3rd_avenue,north_to_south,25,n00089,3rd_avenue/north_to_south/25_n00089_S.jpg,True,facade_scaffold,False,False,33.4
174,15,3rd_avenue,north_to_south,26,n00088,3rd_avenue/north_to_south/26_n00088_S.jpg,False,,True,True,13.5
175,15,3rd_avenue,north_to_south,27,n00087,3rd_avenue/north_to_south/27_n00087_S.jpg,False,,False,False,6.9
176,15,3rd_avenue,north_to_south,28,n00086,3rd_avenue/north_to_south/28_n00086_S.jpg,False,,False,False,26.8
177,15,3rd_avenue,north_to_south,29,n00085,3rd_avenue/north_to_south/29_n00085_S.jpg,False,,False,False,46.8
178,15,3rd_avenue,north_to_south,30,n00084,3rd_avenue/north_to_south/30_n00084_S.jpg,False,,False,False,34.3
179,15,3rd_avenue,north_to_south,31,n00083,3rd_avenue/north_to_south/31_n00083_S.jpg,False,,True,True,14.3
180,15,3rd_avenue,north_to_south,32,n00082,3rd_avenue/north_to_south/32_n00082_S.jpg,False,,False,False,5.8
181,16,3rd_avenue,north_to_south,33,n00081,3rd_avenue/north_to_south/33_n00081_S.jpg,False,,False,False,25.8
182,16,3rd_avenue,south_to_north,1,n00081,3rd_avenue/south_to_north/01_n00081_N.jpg,True,facade_scaffold,True,True,25.8
183,16,3rd_avenue,south_to_north,2,n00082,3rd_avenue/south_to_north/02_n00082_N.jpg,False,,True,True,5.8
184,16,3rd_avenue,south_to_north,3,n00083,3rd_avenue/south_to_north/03_n00083_N.jpg,False,,False,False,14.3
185,16,3rd_avenue,south_to_north,4,n00084,3rd_avenue/south_to_north/04_n00084_N.jpg,False,,False,False,34.3
186,16,3rd_avenue,south_to_north,5,n00085,3rd_avenue/south_to_north/05_n00085_N.jpg,False,,False,False,46.8
187,16,3rd_avenue,south_to_north,6,n00086,3rd_avenue/south_to_north/06_n00086_N.jpg,False,,True,True,26.8
188,16,3rd_avenue,south_to_north,7,n00087,3rd_avenue/south_to_north/07_n00087_N.jpg,True,facade_scaffold,True,True,6.9
189,16,3rd_avenue,south_to_north,8,n00088,3rd_avenue/south_to_north/08_n00088_N.jpg,True,facade_scaffold,False,False,13.5
190,16,3rd_avenue,south_to_north,9,n00089,3rd_avenue/south_to_north/09_n00089_N.jpg,False,,False,False,33.4
191,16,3rd_avenue,south_to_north,10,n00090,3rd_avenue/south_to_north/10_n00090_N.jpg,False,,False,False,32.0
192,16,3rd_avenue,south_to_north,11,n00091,3rd_avenue/south_to_north/11_n00091_N.jpg,False,,True,True,12.0
193,17,3rd_avenue,south_to_north,12,n00092,3rd_avenue/south_to_north/12_n00092_N.jpg,False,,False,False,8.0
194,17,3rd_avenue,south_to_north,13,n00093,3rd_avenue/south_to_north/13_n00093_N.jpg,False,,False,False,28.0
195,17,3rd_avenue,south_to_north,14,n00094,3rd_avenue/south_to_north/14_n00094_N.jpg,True,facade_scaffold,True,False,48.0
196,17,3rd_avenue,south_to_north,15,n00095,3rd_avenue/south_to_north/15_n00095_N.jpg,False,,True,False,37.7
197,17,3rd_avenue,south_to_north,16,n00096,3rd_avenue/south_to_north/16_n00096_N.jpg,True,facade_scaffold,True,True,20.7
198,17,3rd_avenue,south_to_north,17,n00097,3rd_avenue/south_to_north/17_n00097_N.jpg,True,hoarding_fence,True,True,8.4
199,17,3rd_avenue,south_to_north,18,n00098,3rd_avenue/south_to_north/18_n00098_N.jpg,False,,False,False,2.9
200,17,3rd_avenue,south_to_north,19,n00099,3rd_avenue/south_to_north/19_n00099_N.jpg,False,,False,False,21.0
201,17,3rd_avenue,south_to_north,20,n00100,3rd_avenue/south_to_north/20_n00100_N.jpg,False,,True,False,40.9
202,17,3rd_avenue,south_to_north,21,n00101,3rd_avenue/south_to_north/21_n00101_N.jpg,False,,True,False,60.9
203,17,3rd_avenue,south_to_north,22,n00102,3rd_avenue/south_to_north/22_n00102_N.jpg,False,,False,False,80.9
204,17,3rd_avenue,south_to_north,23,n00103,3rd_avenue/south_to_north/23_n00103_N.jpg,False,,False,False,87.6
205,18,3rd_avenue,south_to_north,24,n00104,3rd_avenue/south_to_north/24_n00104_N.jpg,False,,False,False,67.7
206,18,3rd_avenue,south_to_north,25,n00105,3rd_avenue/south_to_north/25_n00105_N.jpg,True,facade_scaffold,False,False,47.7
207,18,3rd_avenue,south_to_north,26,n00106,3rd_avenue/south_to_north/26_n00106_N.jpg,True,facade_scaffold,True,True,27.8
208,18,3rd_avenue,south_to_north,27,n00107,3rd_avenue/south_to_north/27_n00107_N.jpg,True,facade_scaffold,True,True,8.2
209,18,3rd_avenue,south_to_north,28,n00108,3rd_avenue/south_to_north/28_n00108_N.jpg,False,,True,False,12.8
210,18,3rd_avenue,south_to_north,29,n00109,3rd_avenue/south_to_north/29_n00109_N.jpg,False,,True,False,32.6
211,18,3rd_avenue,south_to_north,30,n00110,3rd_avenue/south_to_north/30_n00110_N.jpg,False,,False,False,52.5
212,18,3rd_avenue,south_to_north,31,n00111,3rd_avenue/south_to_north/31_n00111_N.jpg,False,,False,False,40.5
213,18,3rd_avenue,south_to_north,32,n00112,3rd_avenue/south_to_north/32_n00112_N.jpg,False,,True,True,23.6
214,18,3rd_avenue,south_to_north,33,n00113,3rd_avenue/south_to_north/33_n00113_N.jpg,False,,False,False,16.6
215,18,east_34th_street,east_to_west,1,n00313,east_34th_street/east_to_west/01_n00313_W.jpg,False,,False,False,18.9
216,18,east_34th_street,east_to_west,2,n00312,east_34th_street/east_to_west/02_n00312_W.jpg,False,,False,False,29.7
